"Screen","ApprovedReference","Title","DirectAndReachableControls","InitiallyRenderedControls","ScriptRevealedControls","NavigationLinks","Inputs","NestedSheetDialogActions","ControlLabels"
"010","10-buy-grocery-decision.html","10 Buy > Grocery Decision - MoolSocial Screenbook","48","48","0","9","0","1","button: Go back to Buy | button: Open basket | button: Search | button: Scan item | button: Voice search | a: At-shop collection pay & collect here | a: Deliver to home 11-45 min | a: Shop Discount active today | button: Single Quantity daily home need | button: Home Value Pack fixed larger pack | button: Business Bulk seller case + MOQ | button: Shop Discount same home pack | button: All | button: Vegetables | button: Staples | button: Dairy | button: Snacks | button: Home | button: Single Quantity Rs 37 500 g · home | button: Home Value Pack Rs 136 total 2 kg fixed pack | button: Business Bulk Rs 31 seller MOQ required | button: Shop Discount Rs 129 total 2 kg home pack · Rs 7 saved | button: Add | button: - | button: + | button: Single Quantity Rs 495 1 bag · home | button: Home Value Pack Rs 950 total 2 bag fixed pack | button: Business Bulk Rs 4,550 minimum 10 bags · Rs 455/bag · GST | button: Shop Discount Rs 930 total 2 bag home pack · Rs 20 saved | button: Single Quantity Rs 155 1 combo · home | button: Home Value Pack Rs 435 total 3 combo fixed pack | button: Business Bulk Rs 132 seller MOQ required | button: Shop Discount Rs 417 total 3 combo home pack · Rs 18 saved | button: View | a: Open Mool | a: Open grocery | a: Browse categories | a: Open medicines | a: Open basket | a: Open chat | button: Close basket | button: Continue | button: Single Quantity consumer price required | button: Home Value Pack fixed household pack | button: Business Bulk Listing eligible seller · case · MOQ · GST | button: Shop Discount discount on stated pack | button: At-shop Collection visible only in at-shop context | button: Home Delivery shop/local delivery"
"011","11-buy-product-detail.html","11 Buy > Product Detail - MoolSocial Screenbook","29","29","0","7","2","1","a: Back to grocery decision | a: Open basket | button: Single Quantity Rs 37 shop price now | button: Home Value Pack Rs 34 2 kg pack | button: Business Bulk Rs 31 MOQ target | button: Shop Discount Rs 34 basket offer | button: 500 g Rs 37 one home quantity | button: 1 kg Rs 72 household quantity | button: 2 kg Rs 136 fixed home value pack | button: - | button: + | button: At-shop collection 8 min available only while shopping at this shop | button: Deliver home in 22 min send to your confirmed address | button: Schedule evening or tomorrow slot | input: Delivery date | input: Delivery time | button: Confirm delivery time | button: Add Basket | a: Open Mool | a: Open shop | a: Browse categories | a: Open medicines | a: Open chat | button: Home Value Pack fixed household pack | button: Business Bulk Listing eligible seller · case · MOQ · GST | button: Shop Discount discount on stated pack | button: At-shop Collection visible only at the shop | button: Home Delivery shop/local delivery | button: Substitute only with approval"
"012","12-buy-basket-checkout.html","12 Buy > Basket Checkout - MoolSocial Screenbook","20","20","0","7","2","2","a: Back to product detail | button: Apply coupon | button: - | button: + | button: At-shop collection 8 min only for a confirmed at-shop session | button: Deliver home in 22 min to your confirmed address | button: Schedule evening or tomorrow slot | input: Delivery date | input: Delivery time | button: Confirm delivery time | button: Call Me ask before any change | button: Allow Substitute ask me before replacing | button: Remove Item pay only available items | button: Review & Pay | a: Open Mool | a: Open shop | a: Browse categories | a: Open basket | a: Open offers | a: Open chat"
"013","13-retailer-stock-confirmation.html","13 Retailer Stock Confirmation - MoolSocial Screenbook","14","14","0","7","0","4","a: Back to retailer orders | button: Open alerts | button: - | button: + | button: Start Packing accept the paid order | button: Adjust Quantity request customer approval | button: Report Unavailable offer replace or refund | button: Update Ready Time share the revised time | a: Open Mool | a: Open orders | a: Open stock | a: Open payouts | a: Open offers | a: Open chat"
"014","14-customer-payment-order-confirmation.html","14 Customer Payment Order Confirmation - MoolSocial Screenbook","13","13","0","7","0","6","a: Back to basket | button: Open receipt | button: UPI recommended for fastest confirmation | button: Mool Wallet instant refund path when live | button: Card debit, credit and saved cards | button: Counter QR scan and pay at the shop | button: Pay Rs 645 | a: Open Mool | a: Open shop | a: Open basket | a: Open payment | a: Open orders | a: Open chat"
"015","15-counter-ready-receipt.html","15 Counter Ready Receipt - MoolSocial Screenbook","13","13","0","8","0","0","a: Back to payment | button: Share receipt | button: Ask counter | a: Chat shop | button: Refresh | button: Collected | button: Show | a: Open Mool | a: Open shop | a: Open basket | a: Open receipt | a: Open orders | a: Open chat"
"016","16-order-completed-bill-rating.html","16 Order Completed Bill Rating - MoolSocial Screenbook","31","31","0","9","0","0","a: Back to receipt | button: Share bill | button: Download Bill | button: Share Bill | button: Orders | button: 1 | button: 2 | button: 3 | button: 4 | button: 5 | button: Fast pickup | button: Fresh items | button: Good packing | button: Accurate total | button: Wrong item | button: Missing item | button: Quality issue | button: Bill issue | a: Repeat this basket same shop, same items | button: Save monthly basket remind next month | button: Raise issue | button: Call shop | a: Chat shop | button: View bill | button: Submit | a: Open Mool | a: Open shop | a: Open basket | a: Open bill | a: Open orders | a: Open chat"
"017","17-home-delivery-tracking.html","17 Home Delivery Tracking - MoolSocial Screenbook","18","18","0","8","0","0","a: Back to payment | button: Delivery help | button: Call | button: Edit | button: Change landmark | button: Cannot find me | button: Share live location | button: Refresh status | a: Chat with delivery support | button: Delay | button: Rider changed | button: Check doorstep arrival | a: Open Mool | a: Open shop | a: Open basket | a: Open delivery | a: Open orders | a: Open chat"
"018","18-home-delivery-completed-bill-rating.html","18 Home Delivery Completed Bill Rating - MoolSocial Screenbook","35","35","0","10","0","0","a: Back to delivery tracking | button: Share bill | button: Rate Order shop and delivery | button: Report Problem missing, damaged, bill | a: Buy Again repeat basket | button: Download bill | button: Orders | button: View proof | button: 1 | button: 2 | button: 3 | button: 4 | button: 5 | button: Fresh items | button: Accurate total | button: Good packing | button: On time | button: Polite | button: Packet handled well | button: Missing item | button: Damaged item | button: Late delivery | button: Bill issue | button: Report item issue | button: Call shop | a: Chat order | a: Repeat basket same shop, same items | button: Monthly basket save for next grocery cycle | button: Submit | a: Open Mool | a: Open shop | a: Open basket | a: Open bill | a: Open orders | a: Open chat"
"019","19-order-issue-refund-evidence.html","19 Order Issue Refund Evidence - MoolSocial Screenbook","24","24","0","7","0","0","a: Back to completed order | a: Open chat | button: Hybrid Tomato 500 g - Rs 37 | button: Green Chilli 100 g - Rs 16 | button: Staples Pack rice, atta, dal - Rs 399 | button: Full order bill or delivery issue | button: Missing item paid item not received | button: Wrong item different item received | button: Damaged item leak, broken, spoiled | button: Bill issue price or quantity mismatch | button: Late delivery delivery crossed promised time | button: Other needs support review | button: Item photo camera/gallery | button: Bill mark select item | button: Voice note optional | button: Refund eligible amount | button: Replace shop sends item | button: Support human review | button: Submit | a: Open Mool | a: Open bill | a: Open issue | a: Open orders | a: Open shop"
"020","20-issue-review-status-retailer-response.html","20 Issue Review Status Retailer Response - MoolSocial Screenbook","16","16","0","9","0","0","a: Back to issue evidence | a: Open chat | a: Chat case shop/support | a: Add proof more photo | button: Mark resolved only if fixed | button: Keep open | button: Resolved | button: Refresh | a: Open Mool | a: Open bill | a: Open evidence | a: Open review | a: Open orders | button: Shop accepts refund approved | button: Shop offers replace customer choice | button: Needs review proof mismatch"
"021","21-issue-result-refund-replacement.html","21 Issue Result Refund Replacement - MoolSocial Screenbook","13","13","0","9","0","0","a: Back to issue status | a: Open chat | a: View bill final receipt | a: Buy again basket/shop | a: Chat case support | button: Done | a: Open Mool | a: Open bill | a: Open status | a: Open result | button: Refund approved | button: Replacement set | button: Support decision"
"022","22-chat-order-support-thread.html","22 Chat Order Support Thread - MoolSocial Screenbook","31","31","0","6","0","1","a: Back to issue result | a: Open Mool | a: People | a: Business 1 | a: Orders 2 | a: Support | a: Call | a: Video | a: Photo proof | a: File | a: View bill final receipt | a: View result refund proof | a: Issue status case trail | a: Ask support if unresolved | button: Ask for refund update | button: Ask to repeat basket | button: Ask support to check | a: Photo | a: Bill | a: Proof | button: Attach photo or proof | button: Open camera | button: Voice message | button: Send message | a: Business | a: Orders | a: Open chat | button: People | button: Business | button: Orders | button: Support"
"023","23-chat-inbox-home.html","23 Chat Inbox Home - MoolSocial Screenbook","27","27","0","9","0","0","a: Open Mool | a: New chat | button: Voice search | a: All 5 | a: Unread 3 | a: People | a: Business | a: Orders 2 | a: Support | a: Retailer replied Refund/replacement decision is ready for order MS-2041. Needs tap Proof saved | a: Delivery chat live Rider can call, send photo proof or confirm doorstep issue. 2 unread Order linked | button: Close start chat | a: Person family or group | a: Business shop or service | a: Order bill or delivery | a: Support case help | a: Photo image/video | a: File PDF/doc | a: Call audio | a: Video face call | a: MF Mahadev Fresh Mart + Mool Support V Refund result attached. Shop replied and support note saved. Order MS-2041 Proof  | a: JW Jodhpur Wholesale Supplier V Price list reply for oil, pulses and monthly basket MOQ. Business Price list 6m 1 | a: AV Amit Vyas Shared monthly basket list: atta, rice and fruits. People Basket group 18m sent | a: MS MoolSocial Support V Issue MS-ISS-2041 is saved with bill and proof packet. Support case Saved 25m saved | a: RR Rider Rajesh Delivery completed. OTP proof and doorstep photo saved. Delivery Home order 1h 2 | a: Orders | a: Chat inbox open"
"024","24-chat-business-thread.html","24 Chat Business Thread - MoolSocial Screenbook","30","30","0","5","1","1","a: Back to chat inbox | a: Call business | a: Video call business | a: More business chat options | a: Chat live | a: Catalog shop items | a: Quote basket price | a: Orders 2 linked | a: Pay after confirm | button: At-shop collection Collect here in 12 min | button: Home delivery 45 min · delivery fee shown before payment | a: Change items | a: Confirm quote | a: Need GST bill | a: Share location | a: Home delivery | a: At-shop collection | a: Send photo | a: Send PDF | a: Send final bill | a: Photo | a: File | a: Pay | a: Support | a: Open Mool home | button: Attach item or bill | button: Open camera | input: Message Mahadev Fresh Mart | button: Voice message | button: Send message"
"025","25-chat-people-thread.html","25 Chat People Thread - MoolSocial Screenbook","39","39","0","6","1","6","a: Back to chat inbox | button: Call group | button: Video call group | button: More people chat options | button: Chat messages | button: Media photos | button: Basket shared list | button: Poll decide | button: Invite members | button: Edit list | a: Find price | button: Open kitchen list image | button: Like 2 | button: Play 18 second voice note | button: Open Monthly Staples PDF | button: Add option | a: Use result | button: Add to basket | button: Create poll | button: Share photo | button: Send file | button: Invite member | a: Find price | button: Close reply preview | button: Camera | button: Gallery | button: Video | button: File | button: Location | button: Contact | button: Poll | a: Basket | a: Open Mool home | button: Attach media or basket | button: Open camera | input: Message Home Basket Group | button: Record voice note | button: Send message | button: Close chat action"
"026","26-eat.html","26 Eat - MoolSocial Screenbook","38","38","0","4","0","0","a: Open chat | a: Profile | button: Search food | button: Scan restaurant QR | button: Voice food search | a: Scan | button: Deliver home | button: QR table | button: Find name | button: Offers save | button: SD Spice Darbar North Indian · 1.1 km Open Order · Table · Pickup · 10% reward | button: BL Blue Lime Cafe Cafe · 700 m Seat Table · Pickup · Free dessert reward | button: MT Maa Tiffin Home kitchen · 2.0 km Plan Trial · Monthly plan · Pause allowed | a: Order Food delivery or pickup | a: Book Table seat confirmed | a: Tiffin trial or plan | button: Open now | button: Veg | button: Under 30 min | button: Family pack | button: Pure veg | button: No onion garlic | button: Offers | a: Order now | a: Menu | a: Add pack | a: Share | a: Book table | a: Call | a: Reserve | a: Try tiffin | a: Plan | a: Start plan | a: Calendar | a: Mool | a: Order | a: Table | a: Tiffin"
"027","27-eat-order-food.html","27 Eat > Order Food - MoolSocial Screenbook","29","29","0","7","1","0","a: Back to Eat | a: Book table | button: Search | button: Scan restaurant QR | button: Voice search | a: Change | button: Deliver | button: Pickup | button: QR table | button: Schedule | input: [unlabelled input] | button: Confirm schedule | button: Best value | button: Meals | button: Biryani | button: Snacks | button: Drinks | button: Offers | button: Add | a: Customize | a: Details | button: Add pack | a: Share | a: Open food basket | a: Mool | a: Order | a: Table | a: Tiffin | a: Open chat"
"028","28-eat-book-table.html","28 Eat > Book Table - MoolSocial Screenbook","32","32","0","5","0","0","a: Back to Eat | button: Saved restaurants | button: Search | button: Scan restaurant QR | button: Voice search | button: SD Spice Darbar Ratanada · 1.1 km Rs 0 · 2 tables | button: TJ Taj Jodhpur Premium dining · 3.8 km Cover Rs 1,500 | button: BL Blue Lime Cafe Cafe · 2.4 km Free booking | button: RR Raas Rooftop Rooftop · 4.2 km Hold Rs 500 | button: 2 people | button: 4 people | button: 6 people | button: 8+ people | button: Now | button: 7:30 PM | button: 8:00 PM | button: 8:30 PM | button: Standard table normal table · fastest confirm | button: Family dining bigger table · child friendly | button: Dining pack starter hold · bill adjusted | button: Buffet seat per person · limited slot | button: Celebration setup decor · cake note · confirm | button: Free dessert | button: Use points | button: Preorder | a: Book table | a: Chat | a: Mool | a: Order | a: Table | a: Tiffin | a: Open chat"
"029","29-eat-tiffin.html","29 Eat > Tiffin - MoolSocial Screenbook","31","31","0","7","0","0","a: Back to Eat | a: Order food | button: Search | button: Scan kitchen QR | button: Voice search | button: MT Maa Tiffin Home kitchen · 2.0 km Trial Rs 79 · monthly | button: JS Jain Satvik No onion garlic · 3.1 km Jain meal · verified | button: OM Office Meal Co Office lunch · 4.4 km Bulk route · save | button: Regular veg | button: Jain | button: High protein | button: Rajasthani | button: Diet | button: Lunch | button: Dinner | button: Lunch + Dinner | button: Trial today | button: 12:30 | button: 1:15 | button: 8:00 | button: Office route | button: Try meal Rs 79 today only · no lock | button: Start week Rs 720 6 meals · pause next week | button: Start month Rs 2,850 26 meals · skip allowed | a: Start monthly tiffin | a: Chat | a: Mool | a: Order | a: Table | a: Tiffin | a: Open chat"
"030","30-ride.html","30 Ride - MoolSocial Screenbook","18","18","0","4","0","0","a: Back | button: Saved places | button: Search | button: Use current location | button: Voice search | button: Now | button: After 15 min | button: Schedule | button: Bike from Rs 59 solo · quick city ride | button: Auto from Rs 112 routine fare · local | button: Cab from Rs 186 packages · comfort | a: Book auto | a: Chat | a: Mool | a: Bike | a: Auto | a: Cab | a: Open chat"
"031","31-ride-accepted-captain-arriving.html","31 Ride Accepted / Captain Arriving - MoolSocial Screenbook","29","14","15","8","1","25","a: Back | button: Open safety centre | button: Open map | button: Call captain | button: Chat with captain | button: Map | button: Call | a: Chat | button: Share | button: Edit | button: Cancel | a: Mool | button: Safe | a: Open chat | nested button: Refresh location | nested button: End call | nested button: Copy secure trip link | nested input: [unlabelled input] | nested button: Save pickup note | nested button: Keep ride | nested button: Cancel ride | nested button: Share live trip | nested button: Get emergency help | nested button: Report safety issue | nested button: Call again | nested a: Open ride chat | nested a: Book another ride | nested a: Open safety support | nested a: Track safety case"
"032","32-ride-live-trip.html","32 Ride Live Trip - MoolSocial Screenbook","31","18","13","7","1","24","a: Back | button: Open safety centre | button: Open map | button: Call captain | button: Chat with captain | button: Map | button: Call | a: Chat | button: Safety | button: Share | button: Add stop | button: Cash after trip | button: UPI after trip | button: Card held only | button: Help | a: Mool | button: Safe | a: Open chat | nested button: Refresh route | nested button: End call | nested button: Copy secure trip link | nested input: Search landmark or address | nested button: Review added stop | nested button: Share live trip | nested button: Get emergency help | nested button: Report route or safety issue | nested button: Call again | nested a: Open ride chat | nested a: Open safety support | nested a: Track safety case | nested button: Confirm stop and fare estimate"
"033","33-ride-payment-approval.html","33 Ride Payment Approval - MoolSocial Screenbook","14","14","0","3","0","0","a: Back | button: Safety | button: Receipt | button: Call captain | button: Chat with captain | button: Cash to captain | button: Pay by UPI | button: Approve card debit | a: Approve Rs 112 | a: Issue | a: Receipt | a: Mool | a: Pay | a: Open chat"
"034","34-ride-receipt-rating.html","34 Ride Receipt Rating - MoolSocial Screenbook","19","19","0","4","0","0","a: Back | button: Safety | button: Download receipt | button: Share receipt | button: Support chat | button: &#9733; | button: Clean ride | button: Polite | button: Safe driving | button: On time | a: Submit rating | a: Support | a: Share | a: Ride again | a: Mool | a: Receipt | a: Rate | a: Help | a: Open chat"
"035","35-ride-post-trip-support.html","35 Ride Post Trip Support - MoolSocial Screenbook","21","21","0","4","0","0","a: Back | button: Safety | button: Receipt proof | button: Call support | button: Support chat | a: Alert | button: Report missing item | button: Review fare | button: Check route | button: Report safety concern | button: Phone | button: Wallet | button: Bag | button: Keys | a: Report missing item | a: Track | a: Call | a: Mool | a: Help | a: Receipt | a: Open chat"
"036","36-book.html","36 Book - MoolSocial Screenbook","21","21","0","4","0","0","a: Back | button: Saved places | button: Search | button: Use current location | button: Voice search | button: Now | button: Today evening | button: Tomorrow | button: Schedule | button: Get It Done from Rs 99 remote/local task | button: Services visit fee clear repair, cleaning, help | button: Doctor slot + fee clinic, video, OPD | button: Salon slot ready salon visit or home | a: Continue | a: Chat | a: Mool | a: Get Done | a: Services | a: Doctor | a: Salon | a: Open chat"
"037","37-book-doctor-appointment.html","37 Book Doctor Appointment - MoolSocial Screenbook","23","23","0","4","0","0","a: Back | button: Saved patients | button: Search | button: Use current area | button: Voice search | button: Clinic doctor slot individual doctor | button: Hospital OPD token/queue department desk | button: Video 15 min online consult | button: Follow-up same case old visit/prescription | button: Fever | button: Dental | button: Child | button: Skin | button: Women | button: Reports | a: Book doctor | a: Chat | a: Mool | a: Clinic | a: OPD | a: Video | a: Follow | a: Open chat"
"038","38-book-patient-details-reports.html","38 Patient Details and Reports - MoolSocial Screenbook","28","28","0","5","1","0","a: Back | button: Family profiles | button: Search | button: Scan report | button: Voice note | button: Self 28 yrs | button: Mother saved | button: Child add age | button: Add new patient | input: [unlabelled input] | button: Fever | button: Cough | button: Pain | button: Reports | button: Follow-up | button: Other | button: Prescription attached | button: Lab report PDF/photo | button: Photo symptom image | button: ID only if required | button: Share with selected doctor/hospital Only appointment details and attached reports are shared. | a: Confirm details | a: Chat | a: Mool | button: Patient | button: Need | button: Consent | a: Open chat"
"039","39-doctor-patient-invite-followup.html","39 Doctor Patient Invite and Follow-Up - MoolSocial Screenbook","27","27","0","4","0","0","a: Back | button: Doctor workspace | button: Search | button: Show patient QR | button: Send voice instruction | button: Show QR counter scan | button: Send link SMS/WhatsApp | button: Desk code reception | button: Rx QR on print | button: 7-day | button: 3-day | button: Paid | button: Reports | button: Video | button: Off | button: Reminders auto follow-up | button: Reports before visit | button: Prescription stored safely | button: Repeat easy rebooking | button: Ask patient to allow follow-up Patient signs in and approves clinic link before sharing data. | a: Chat | a: Mool | button: Invite | button: Follow | button: Reasons | button: Consent | a: Open chat"
"040","40-patient-clinic-invite-join.html","40 Patient Clinic Invite Join - MoolSocial Screenbook","28","28","0","5","0","0","a: Back | button: Patient account | button: Search | button: Open invite | button: Voice help | button: Join visit doctor link | button: Upload reports before review | button: Book follow-up slot/video | button: Ask clinic chat | button: 7-day | button: 3-day | button: Paid | button: Reports | button: Video | button: Decline | button: Reminders medicine & review | button: Reports share safely | button: Prescription saved privately | button: Rebook same doctor | button: Allow this clinic link Only this verified clinic can see this visit, reports you upload and follow-up consent. | a: Sign in & link visit | a: Chat | a: Mool | button: Join | button: Follow | button: Benefits | button: Consent | a: Open chat"
"041","41-patient-followup-workspace.html","41 Patient Follow-Up Workspace - MoolSocial Screenbook","28","28","0","5","0","0","a: Back | button: Patient account | button: Search | button: Open follow-up | button: Voice help | button: Upload report lab/photo | button: Set reminder medicine | button: Book review slot/video | button: Ask clinic chat | button: Reports | button: Medicine | button: Video | button: Clinic | button: Paid | button: Close | button: Prescription saved safely | button: Reports 2 pending | button: Reminders medicine | button: Rebook same doctor | button: Share with this clinic Dr. Kavita clinic can see only this follow-up case and files you choose. | a: Upload report | a: Chat | a: Mool | button: Action | button: Care | button: Records | button: Share | a: Open chat"
"042","42-book-salon-appointment.html","42 Book Salon Appointment - MoolSocial Screenbook","23","23","0","4","0","0","a: Back | button: Saved salons | button: Search | button: Use current area | button: Voice search | button: Haircut | button: Beard | button: Facial | button: Colour | button: Massage | button: Bridal | button: Salon nearby slot visit salon | button: Home Visit at home provider comes | button: Makeup event ready bridal/party | button: Package combo save monthly/event | a: Book salon | a: Chat | a: Mool | a: Salon | a: Home | a: Makeup | a: Pack | a: Open chat"
"043","43-salon-booking-confirm.html","43 Salon Booking Confirmation - MoolSocial Screenbook","21","21","0","9","0","0","a: Back | button: Saved salons | a: Change slot | button: Set reminder | a: Salon support chat | button: Pay at salon no prepay pay after service | button: UPI now paid slot receipt instant | button: Card hold approve later debit after service | button: No add-on | button: Beard +80 | button: Wash +120 | button: Cleanup +350 | button: P Price includes selected service Haircut, basic styling and GST included. Salon rating + shop photos verified Rs 199 lo | button: C Cancellation Free cancellation till 30 min before slot. Late/no-show rule shown before final booking. Free 30 min | a: Confirm slot | a: Chat | a: Mool | a: Slot | a: Pay | a: Confirm | a: Open chat"
"044","44-salon-booking-confirmed.html","44 Salon Booking Confirmed - MoolSocial Screenbook","19","19","0","13","0","0","a: Back | button: Saved salons | a: Open directions | button: Reminder enabled | a: Salon support chat | a: Pay via MoolSocial | a: Need help? | button: Arrive 5:30 PM 10 min early | button: Reminder 30 min before slot | button: Counter show app no code needed | a: D Directions Royal Touch Salon · 800 m from current area Open map, call or share route from chat. 800 m nearby | a: R Reschedule or cancel Free cancellation till 30 min before slot. Alternate slot shown before any cancellation. Free 30  | a: Open booking chat | a: Change | a: Mool | a: Slot | a: Pay | a: Route | a: Open chat"
"045","45-salon-visit-check-in.html","45 Salon Visit Check-In - MoolSocial Screenbook","19","19","0","13","0","1","a: Back | button: Saved salons | a: Service status | button: Call salon | a: Salon support chat | a: Pay via MoolSocial | a: Need help? | button: Checked in Done arrival noted | button: Queue 2 ahead approx 5 min | button: Service Ready chair 3 | a: S Start service Salon marks service started from workspace Customer sees timer, payment and support record. Ready chair  | a: I Report an issue before payment Wrong service, delay or hygiene concern can be reported. Issue log stays linked to the  | a: Service done | a: Chat | a: Mool | a: Visit | a: Pay | a: Done | a: Open chat"
"046","46-salon-service-payment-rating.html","46 Salon Service Payment Rating - MoolSocial Screenbook","19","19","0","13","0","0","a: Back | button: Saved salons | a: Bill status | button: Call salon | a: Salon support | a: Pay & save bill | a: Need help? | button: Service Done confirmed | button: Bill Rs 199 ready | button: Rate Good tap to change | a: S Submit rating Rate service, stylist and cleanliness Rating improves repeat recommendations. Good selected | a: I Book again Save salon, stylist and preferred service Next visit opens faster with saved preference. Repeat ready | a: Submit rating | a: Support | a: Mool | a: Bill | a: Pay | a: Rate | a: Open chat"
